Date,Price,Open,High,Low,Change %
11/24/2020,"4,947.28","4,974.28","4,978.19","4,940.31",-0.54%
11/23/2020,"4,974.28","4,936.02","4,974.43","4,926.16",0.80%
11/22/2020,"4,934.73","4,913.20","4,947.36","4,903.77",0.43%
11/19/2020,"4,913.71","4,954.58","4,954.70","4,913.60",-0.78%
11/18/2020,"4,952.36","4,960.13","4,969.39","4,930.25",-0.16%
11/17/2020,"4,960.13","4,953.91","4,992.44","4,942.24",0.17%
11/16/2020,"4,951.87","4,871.74","4,951.87","4,871.74",1.64%
11/15/2020,"4,871.85","4,858.96","4,923.68","4,851.43",0.33%
11/12/2020,"4,855.90","4,832.02","4,872.09","4,815.97",0.49%
11/11/2020,"4,832.25","4,769.49","4,832.48","4,754.73",1.34%
11/10/2020,"4,768.22","4,744.70","4,772.73","4,737.49",0.52%
11/09/2020,"4,743.43","4,706.16","4,744.95","4,702.24",0.79%
11/08/2020,"4,706.16","4,717.98","4,726.89","4,695.84",-0.25%
11/05/2020,"4,718.01","4,691.06","4,718.23","4,677.49",0.60%
11/04/2020,"4,689.79","4,649.01","4,689.84","4,649.01",0.87%
11/03/2020,"4,649.43","4,638.62","4,671.82","4,638.56",0.25%
11/02/2020,"4,637.78","4,636.76","4,648.81","4,628.11",0.07%
11/01/2020,"4,634.54","4,660.55","4,660.55","4,625.21",-0.55%
10/28/2020,"4,660.04","4,683.29","4,714.05","4,660.03",-0.49%
10/27/2020,"4,682.82","4,624.85","4,686.95","4,624.85",1.25%
10/26/2020,"4,624.85","4,566.81","4,628.09","4,566.81",1.24%
10/25/2020,"4,568.08","4,556.74","4,571.42","4,548.88",0.25%
10/22/2020,"4,556.74","4,543.85","4,559.78","4,538.45",0.29%
10/21/2020,"4,543.70","4,542.63","4,559.01","4,538.59",0.02%
10/20/2020,"4,542.63","4,559.04","4,568.38","4,540.81",-0.37%
10/19/2020,"4,559.55","4,546.73","4,569.97","4,546.73",0.28%
10/18/2020,"4,546.95","4,554.37","4,554.87","4,546.63",-0.16%
10/15/2020,"4,554.37","4,572.58","4,575.58","4,554.37",-0.41%
10/14/2020,"4,573.00","4,545.18","4,576.53","4,538.05",0.61%
